model,n,recall,abstain,degenerate,recall_when_attempted,recall_lo,recall_hi,recognition
base,200,0.38,0.01,0.0,0.37373737373737376,0.3155889366123922,0.4489341048080049,0.735
IdkDPO,200,0.005,0.405,0.0,0.0,0.0008831459893662054,0.02777439986977148,0.2975
IdkNLL,200,0.005,0.93,0.0,0.07142857142857142,0.0008831459893662054,0.02777439986977148,0.7
RMU,200,0.025,0.025,0.715,0.019230769230769232,0.010724561470787711,0.05717914415161715,0.2025
AltPO,200,0.01,0.0,0.005,0.010050251256281407,0.0027466006037749346,0.03572248519617954,0.3175
NPO,200,0.04,0.0,0.0,0.04,0.02040538715065641,0.07693293829419882,0.695
SimNPO,200,0.04,0.0,0.0,0.04,0.02040538715065641,0.07693293829419882,0.55
GradDiff,200,0.21,0.005,0.0,0.21105527638190955,0.15928329527863416,0.271647388153992,0.6775
