model,n,retain_recall,degenerate,lo,hi,forget_recall,selectivity,z_vs_base
base,100,0.36,0.0,0.2727107459049014,0.45764780018837914,0.39,-0.030000000000000027,
IdkDPO,100,0.25,0.0,0.1754509400372426,0.3430464637007583,0.01,0.24,1.7015961708335374
IdkNLL,100,0.23,0.0,0.15843154746876406,0.32154564856827694,0.01,0.22,2.0364771699686885
RMU,100,0.03,0.16,0.010254338223414816,0.08452078080402699,0.01,0.019999999999999997,6.478064365153771
AltPO,100,0.23,0.0,0.15843154746876406,0.32154564856827694,0.0,0.23,2.0364771699686885
NPO,100,0.43,0.0,0.3373313900052838,0.5278478830413564,0.03,0.4,-1.015132610358908
SimNPO,100,0.42,0.0,0.327982249185113,0.5179369200110473,0.07,0.35,-0.87148934066119
GradDiff,100,0.38,0.0,0.2909744920013438,0.47790426179289663,0.2,0.18,-0.2929793676545241
